fecha;tasa
31/01/2020;11.43
29/02/2020;11.63
31/03/2020;11.6
30/04/2020;11.6
31/05/2020;11.59
30/06/2020;11.7
31/07/2020;11.68
31/08/2020;11.66
30/09/2020;11.52
31/10/2020;11.48
30/11/2020;11.38
31/12/2020;11.35
31/01/2021;11.34
28/02/2021;10.88
31/03/2021;10.65
30/04/2021;10.73
31/05/2021;10.69
30/06/2021;10.54
31/07/2021;10.54
31/08/2021;10.51
30/09/2021;10.46
31/10/2021;10.46
30/11/2021;10.78
31/12/2021;10.83
31/01/2022;10.71
28/02/2022;10.84
31/03/2022;11.19
30/04/2022;11.65
31/05/2022;12.1
30/06/2022;12.37
31/07/2022;12.62
31/08/2022;13.51
30/09/2022;14.4
31/10/2022;15.35
30/11/2022;15.61
31/12/2022;15.79
31/01/2023;16.58
28/02/2023;16.57
31/03/2023;15.89
30/04/2023;15.48
31/05/2023;15.05
30/06/2023;15.04
31/07/2023;15.02
31/08/2023;14.83
30/09/2023;14.56
31/10/2023;14.7
30/11/2023;14.46
31/12/2023;14.31
31/01/2024;14.49
29/02/2024;14.26
31/03/2024;13.61
30/04/2024;13.35
31/05/2024;13.17
30/06/2024;13.06
31/07/2024;12.43
31/08/2024;11.82
30/09/2024;11.62
31/10/2024;11.51
30/11/2024;11.44
31/12/2024;11.23
