ciudad,mes,tasa_media_ea,tipo_tasa,n_obs,tasa_mensual
Bogotá,2020-01-01,0.1143,EA,1,0.009059659612918658
Medellín,2020-01-01,0.1143,EA,1,0.009059659612918658
Cali,2020-01-01,0.1143,EA,1,0.009059659612918658
Barranquilla,2020-01-01,0.1143,EA,1,0.009059659612918658
Bogotá,2020-02-01,0.11630000000000001,EA,1,0.009210461389577596
Medellín,2020-02-01,0.11630000000000001,EA,1,0.009210461389577596
Cali,2020-02-01,0.11630000000000001,EA,1,0.009210461389577596
Barranquilla,2020-02-01,0.11630000000000001,EA,1,0.009210461389577596
Bogotá,2020-03-01,0.11599999999999999,EA,1,0.009187856919632198
Medellín,2020-03-01,0.11599999999999999,EA,1,0.009187856919632198
Cali,2020-03-01,0.11599999999999999,EA,1,0.009187856919632198
Barranquilla,2020-03-01,0.11599999999999999,EA,1,0.009187856919632198
Bogotá,2020-04-01,0.11599999999999999,EA,1,0.009187856919632198
Medellín,2020-04-01,0.11599999999999999,EA,1,0.009187856919632198
Cali,2020-04-01,0.11599999999999999,EA,1,0.009187856919632198
Barranquilla,2020-04-01,0.11599999999999999,EA,1,0.009187856919632198
Bogotá,2020-05-01,0.1159,EA,1,0.009180320858506619
Medellín,2020-05-01,0.1159,EA,1,0.009180320858506619
Cali,2020-05-01,0.1159,EA,1,0.009180320858506619
Barranquilla,2020-05-01,0.1159,EA,1,0.009180320858506619
Bogotá,2020-06-01,0.11699999999999999,EA,1,0.009263183504735206
Medellín,2020-06-01,0.11699999999999999,EA,1,0.009263183504735206
Cali,2020-06-01,0.11699999999999999,EA,1,0.009263183504735206
Barranquilla,2020-06-01,0.11699999999999999,EA,1,0.009263183504735206
Bogotá,2020-07-01,0.1168,EA,1,0.00924812313442458
Medellín,2020-07-01,0.1168,EA,1,0.00924812313442458
Cali,2020-07-01,0.1168,EA,1,0.00924812313442458
Barranquilla,2020-07-01,0.1168,EA,1,0.00924812313442458
Bogotá,2020-08-01,0.1166,EA,1,0.009233060291607975
Medellín,2020-08-01,0.1166,EA,1,0.009233060291607975
Cali,2020-08-01,0.1166,EA,1,0.009233060291607975
Barranquilla,2020-08-01,0.1166,EA,1,0.009233060291607975
Bogotá,2020-09-01,0.1152,EA,1,0.009127551090365449
Medellín,2020-09-01,0.1152,EA,1,0.009127551090365449
Cali,2020-09-01,0.1152,EA,1,0.009127551090365449
Barranquilla,2020-09-01,0.1152,EA,1,0.009127551090365449
Bogotá,2020-10-01,0.1148,EA,1,0.009097383303281914
Medellín,2020-10-01,0.1148,EA,1,0.009097383303281914
Cali,2020-10-01,0.1148,EA,1,0.009097383303281914
Barranquilla,2020-10-01,0.1148,EA,1,0.009097383303281914
Bogotá,2020-11-01,0.11380000000000001,EA,1,0.009021920402873196
Medellín,2020-11-01,0.11380000000000001,EA,1,0.009021920402873196
Cali,2020-11-01,0.11380000000000001,EA,1,0.009021920402873196
Barranquilla,2020-11-01,0.11380000000000001,EA,1,0.009021920402873196
Bogotá,2020-12-01,0.11349999999999999,EA,1,0.008999269421842815
Medellín,2020-12-01,0.11349999999999999,EA,1,0.008999269421842815
Cali,2020-12-01,0.11349999999999999,EA,1,0.008999269421842815
Barranquilla,2020-12-01,0.11349999999999999,EA,1,0.008999269421842815
